Timestamp	Event	Path
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\styles\__pycache__\styleable.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\styles\__pycache__\proxy.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\styles\__pycache__\builtins.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\hyperlink.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\formula.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\cell\__pycache__\rich_text.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\cell\__pycache__\text.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\cell\__pycache__\read_only.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\formatting\__pycache__\__init__.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\formatting\__pycache__\rule.cpython-311.pyc
02-09-2023 13:27	Security Breach	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\styles\__pycache__\differential.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\formatting\__pycache__\formatting.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\cell_range.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\packaging\__pycache__\__init__.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\packaging\__pycache__\relationship.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\workbook\__pycache__\child.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\header_footer.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\utils\__pycache__\escape.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\workbook\__pycache__\defined_name.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\formula\__pycache__\translate.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\datavalidation.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\page.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\dimensions.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\utils\__pycache__\units.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\utils\__pycache__\bound_dictionary.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\protection.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\utils\__pycache__\protection.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\filters.cpython-311.pyc
02-09-2023 13:27	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\views.cpython-311.pyc
02-09-2023 13:27	Security Breach	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\merge.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\properties.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\pagebreak.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\scenario.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\table.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\related.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\print_settings.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\_read_only.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\_reader.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\_write_only.cpython-311.pyc
02-09-2023 13:28	modified	C:/Users/Asus\AppData\Local\Programs\Python\Python311\Lib\site-packages\openpyxl\worksheet\__pycache__\_writer.cpython-311.pyc
